sample_id,source_dataset,participant_id,label_lsm,label_group,label_status,split_external,video_internal_path,source_filename_stem,feature_status,feature_path,feature_error
mendeley_labeled611_P06_997a2ad0b392906e,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_a.mp4,Ciclo_1_5_Derecha_a,pending,,
mendeley_labeled611_P06_9915742e8873881d,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_a.mp4,Ciclo_1_5_Izquierda_a,pending,,
mendeley_labeled611_P06_d816ecf02a171147,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_a.mp4,Ciclo_2_5_Derecha_a,pending,,
mendeley_labeled611_P06_b2c42d4ceedbd29e,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_a.mp4,Ciclo_2_5_Izquierda_a,pending,,
mendeley_labeled611_P06_548597fd6e8f275d,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_a.mp4,Ciclo_3_5_Derecha_a,pending,,
mendeley_labeled611_P06_29aa34cb1de41ffe,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_a.mp4,Ciclo_3_5_Izquierda_a,pending,,
mendeley_labeled611_P06_d6a46eb8284d4d46,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_a.mp4,Ciclo_4_5_Derecha_a,pending,,
mendeley_labeled611_P06_a2a07610660c5a41,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_a.mp4,Ciclo_4_5_Izquierda_a,pending,,
mendeley_labeled611_P06_661c49838aa80acd,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_a.mp4,Ciclo_5_5_Derecha_a,pending,,
mendeley_labeled611_P06_fdee5c890f1385f5,67htnzmwbb.1,P06,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_a.mp4,Ciclo_5_5_Izquierda_a,pending,,
