sample_id,label,label_id,word,word_id,grouping,image_count,feature_path,bone_degenerate_hands,status,split
S1-A-1-27,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-27.npy,0,ok,test
S1-A-1-28,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-28.npy,0,ok,train
S1-A-1-29,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-29.npy,0,ok,validation
S1-A-1-30,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-30.npy,0,ok,validation
S1-A-1-31,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-31.npy,0,ok,train
S1-A-1-32,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-32.npy,0,ok,test
S1-A-1-33,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-33.npy,0,ok,train
S1-A-1-34,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-34.npy,0,ok,train
S1-A-1-35,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-35.npy,0,ok,train
S1-A-1-36,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-36.npy,0,ok,train
S1-A-1-37,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-37.npy,0,ok,train
S1-A-1-38,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-38.npy,0,ok,test
S1-A-1-39,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-39.npy,0,ok,train
S1-A-1-40,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-40.npy,0,ok,train
S1-A-1-41,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-41.npy,0,ok,validation
S1-A-1-42,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-42.npy,0,ok,train
S1-A-1-43,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-43.npy,0,ok,validation
S1-A-1-44,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-44.npy,0,ok,test
S1-A-1-45,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-45.npy,0,ok,validation
S1-A-1-46,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-46.npy,0,ok,validation
S1-A-1-47,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-47.npy,0,ok,train
S1-A-1-48,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-48.npy,0,ok,train
S1-A-1-49,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-49.npy,0,ok,train
S1-A-1-50,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-50.npy,0,ok,train
S1-A-1-51,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-51.npy,0,ok,validation
S1-A-1-52,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-52.npy,0,ok,validation
S1-A-1-53,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-53.npy,0,ok,train
S1-A-1-54,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-54.npy,0,ok,train
S1-A-1-55,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-55.npy,0,ok,validation
S1-A-1-56,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-56.npy,0,ok,train
S1-A-1-57,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-57.npy,0,ok,train
S1-A-1-58,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-58.npy,0,ok,test
S1-A-1-59,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-59.npy,0,ok,train
S1-A-1-60,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-60.npy,0,ok,validation
S1-A-1-61,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-61.npy,0,ok,train
S1-A-1-62,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-1-62.npy,0,ok,train
S1-A-2-33,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-33.npy,0,ok,train
S1-A-2-34,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-34.npy,0,ok,train
S1-A-2-35,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-35.npy,0,ok,train
S1-A-2-36,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-36.npy,0,ok,train
S1-A-2-37,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-37.npy,0,ok,test
S1-A-2-38,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-38.npy,0,ok,train
S1-A-2-39,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-39.npy,0,ok,train
S1-A-2-40,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-40.npy,0,ok,validation
S1-A-2-41,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-41.npy,0,ok,train
S1-A-2-42,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-42.npy,0,ok,test
S1-A-2-43,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-43.npy,0,ok,train
S1-A-2-44,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-44.npy,0,ok,train
S1-A-2-45,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-45.npy,0,ok,validation
S1-A-2-46,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-46.npy,0,ok,train
S1-A-2-47,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-47.npy,0,ok,validation
S1-A-2-48,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-48.npy,0,ok,train
S1-A-2-49,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-49.npy,0,ok,validation
S1-A-2-50,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-50.npy,0,ok,test
S1-A-2-51,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-51.npy,0,ok,train
S1-A-2-52,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-52.npy,0,ok,train
S1-A-2-53,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-53.npy,0,ok,train
S1-A-2-54,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-54.npy,0,ok,validation
S1-A-2-55,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-55.npy,0,ok,train
S1-A-2-56,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-56.npy,0,ok,train
S1-A-2-57,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-57.npy,0,ok,train
S1-A-2-58,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-58.npy,0,ok,train
S1-A-2-59,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-59.npy,0,ok,validation
S1-A-2-60,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-60.npy,0,ok,train
S1-A-2-61,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-61.npy,0,ok,train
S1-A-2-62,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-62.npy,0,ok,test
S1-A-2-63,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-63.npy,0,ok,train
S1-A-2-64,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-64.npy,0,ok,train
S1-A-2-65,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-65.npy,0,ok,test
S1-A-2-66,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-66.npy,0,ok,train
S1-A-2-67,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-67.npy,0,ok,test
S1-A-2-68,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-68.npy,0,ok,train
S1-A-2-69,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-69.npy,0,ok,test
S1-A-2-70,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-70.npy,0,ok,validation
S1-A-2-71,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-71.npy,0,ok,train
S1-A-2-72,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-72.npy,0,ok,validation
S1-A-2-73,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-73.npy,0,ok,train
S1-A-2-74,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-74.npy,0,ok,train
S1-A-2-75,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-75.npy,0,ok,train
S1-A-2-76,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-76.npy,0,ok,train
S1-A-2-77,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-77.npy,0,ok,test
S1-A-2-78,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-78.npy,0,ok,train
S1-A-2-79,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-79.npy,0,ok,train
S1-A-2-80,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-80.npy,0,ok,train
S1-A-2-81,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-81.npy,0,ok,train
S1-A-2-82,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-82.npy,0,ok,test
S1-A-2-83,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-83.npy,0,ok,train
S1-A-2-84,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-84.npy,0,ok,train
S1-A-2-85,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-85.npy,0,ok,validation
S1-A-2-86,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-86.npy,0,ok,train
S1-A-2-87,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-87.npy,0,ok,validation
S1-A-2-88,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-88.npy,0,ok,train
S1-A-2-89,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-2-89.npy,0,ok,train
S1-A-3-0,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-0.npy,0,ok,train
S1-A-3-1,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-1.npy,0,ok,train
S1-A-3-10,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-10.npy,0,ok,test
S1-A-3-100,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-100.npy,0,ok,train
S1-A-3-101,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-101.npy,0,ok,train
S1-A-3-11,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-11.npy,0,ok,train
S1-A-3-12,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-12.npy,0,ok,train
S1-A-3-13,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-13.npy,0,ok,validation
S1-A-3-14,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-14.npy,0,ok,validation
S1-A-3-15,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-15.npy,0,ok,train
S1-A-3-16,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-16.npy,0,ok,test
S1-A-3-17,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-17.npy,0,ok,train
S1-A-3-18,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-18.npy,0,ok,train
S1-A-3-19,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-19.npy,0,ok,train
S1-A-3-2,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-2.npy,0,ok,train
S1-A-3-20,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-20.npy,0,ok,train
S1-A-3-21,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-21.npy,0,ok,train
S1-A-3-22,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-22.npy,0,ok,test
S1-A-3-23,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-23.npy,0,ok,train
S1-A-3-24,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-24.npy,0,ok,test
S1-A-3-25,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-25.npy,0,ok,train
S1-A-3-26,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-26.npy,0,ok,train
S1-A-3-27,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-27.npy,0,ok,test
S1-A-3-28,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-28.npy,0,ok,train
S1-A-3-29,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-29.npy,0,ok,train
S1-A-3-3,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-3.npy,0,ok,validation
S1-A-3-30,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-30.npy,0,ok,train
S1-A-3-31,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-31.npy,0,ok,validation
S1-A-3-32,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-32.npy,0,ok,train
S1-A-3-33,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-33.npy,0,ok,train
S1-A-3-34,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-34.npy,0,ok,train
S1-A-3-35,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-35.npy,0,ok,train
S1-A-3-36,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-36.npy,0,ok,train
S1-A-3-37,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-37.npy,0,ok,train
S1-A-3-38,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-38.npy,0,ok,train
S1-A-3-39,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-39.npy,0,ok,test
S1-A-3-4,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-4.npy,0,ok,train
S1-A-3-40,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-40.npy,0,ok,test
S1-A-3-41,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-41.npy,0,ok,train
S1-A-3-42,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-42.npy,0,ok,train
S1-A-3-43,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-43.npy,0,ok,train
S1-A-3-44,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-44.npy,0,ok,train
S1-A-3-45,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-45.npy,0,ok,train
S1-A-3-46,A,A,A,A,,1,msl-abc/bone_vector126/A/S1-A-3-46.npy,0,ok,train
