sample_id,label,label_id,word,word_id,grouping,image_count,feature_path,bone_degenerate_hands,status,split
S19-J-frontal-1,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S19-J-frontal-1.npy,0,ok,test
S19-J-frontal-2,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S19-J-frontal-2.npy,0,ok,test
S19-J-frontal-3,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S19-J-frontal-3.npy,0,ok,test
S19-J-frontal-4,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S19-J-frontal-4.npy,0,ok,test
S19-J-frontal-5,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S19-J-frontal-5.npy,0,ok,test
S19-K-frontal-1,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S19-K-frontal-1.npy,0,ok,test
S19-K-frontal-2,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S19-K-frontal-2.npy,0,ok,test
S19-K-frontal-3,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S19-K-frontal-3.npy,0,ok,test
S19-K-frontal-4,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S19-K-frontal-4.npy,0,ok,test
S19-K-frontal-5,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S19-K-frontal-5.npy,0,ok,test
S19-Q-frontal-1,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S19-Q-frontal-1.npy,0,ok,test
S19-Q-frontal-2,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S19-Q-frontal-2.npy,0,ok,test
S19-Q-frontal-3,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S19-Q-frontal-3.npy,0,ok,test
S19-Q-frontal-4,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S19-Q-frontal-4.npy,0,ok,test
S19-Q-frontal-5,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S19-Q-frontal-5.npy,0,ok,test
S19-X-frontal-1,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S19-X-frontal-1.npy,0,ok,test
S19-X-frontal-2,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S19-X-frontal-2.npy,0,ok,test
S19-X-frontal-3,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S19-X-frontal-3.npy,0,ok,test
S19-X-frontal-4,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S19-X-frontal-4.npy,0,ok,test
S19-X-frontal-5,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S19-X-frontal-5.npy,0,ok,test
S19-Z-frontal-1,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S19-Z-frontal-1.npy,0,ok,test
S19-Z-frontal-2,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S19-Z-frontal-2.npy,0,ok,test
S19-Z-frontal-3,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S19-Z-frontal-3.npy,0,ok,test
S19-Z-frontal-4,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S19-Z-frontal-4.npy,0,ok,test
S19-Z-frontal-5,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S19-Z-frontal-5.npy,0,ok,test
S19-Ñ-frontal-1,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S19-Ñ-frontal-1.npy,0,ok,test
S19-Ñ-frontal-2,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S19-Ñ-frontal-2.npy,0,ok,test
S19-Ñ-frontal-3,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S19-Ñ-frontal-3.npy,0,ok,test
S19-Ñ-frontal-4,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S19-Ñ-frontal-4.npy,0,ok,test
S19-Ñ-frontal-5,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S19-Ñ-frontal-5.npy,0,ok,test
S20-J-frontal-1,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S20-J-frontal-1.npy,0,ok,test
S20-J-frontal-2,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S20-J-frontal-2.npy,0,ok,test
S20-J-frontal-3,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S20-J-frontal-3.npy,0,ok,test
S20-J-frontal-4,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S20-J-frontal-4.npy,0,ok,test
S20-J-frontal-5,J,J,J,J,dynamic,0,msl-dynamic/bone_vector126/J/S20-J-frontal-5.npy,0,ok,test
S20-K-frontal-1,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S20-K-frontal-1.npy,0,ok,test
S20-K-frontal-2,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S20-K-frontal-2.npy,0,ok,test
S20-K-frontal-3,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S20-K-frontal-3.npy,0,ok,test
S20-K-frontal-4,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S20-K-frontal-4.npy,0,ok,test
S20-K-frontal-5,K,K,K,K,dynamic,0,msl-dynamic/bone_vector126/K/S20-K-frontal-5.npy,0,ok,test
S20-Q-frontal-1,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S20-Q-frontal-1.npy,0,ok,test
S20-Q-frontal-2,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S20-Q-frontal-2.npy,0,ok,test
S20-Q-frontal-3,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S20-Q-frontal-3.npy,0,ok,test
S20-Q-frontal-4,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S20-Q-frontal-4.npy,0,ok,test
S20-Q-frontal-5,Q,Q,Q,Q,dynamic,0,msl-dynamic/bone_vector126/Q/S20-Q-frontal-5.npy,0,ok,test
S20-X-frontal-1,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S20-X-frontal-1.npy,0,ok,test
S20-X-frontal-2,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S20-X-frontal-2.npy,0,ok,test
S20-X-frontal-3,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S20-X-frontal-3.npy,0,ok,test
S20-X-frontal-4,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S20-X-frontal-4.npy,0,ok,test
S20-X-frontal-5,X,X,X,X,dynamic,0,msl-dynamic/bone_vector126/X/S20-X-frontal-5.npy,0,ok,test
S20-Z-frontal-1,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S20-Z-frontal-1.npy,0,ok,test
S20-Z-frontal-2,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S20-Z-frontal-2.npy,0,ok,test
S20-Z-frontal-3,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S20-Z-frontal-3.npy,0,ok,test
S20-Z-frontal-4,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S20-Z-frontal-4.npy,0,ok,test
S20-Z-frontal-5,Z,Z,Z,Z,dynamic,0,msl-dynamic/bone_vector126/Z/S20-Z-frontal-5.npy,0,ok,test
S20-Ñ-frontal-1,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S20-Ñ-frontal-1.npy,0,ok,test
S20-Ñ-frontal-2,Ñ,Ñ,Ñ,Ñ,dynamic,0,msl-dynamic/bone_vector126/Ñ/S20-Ñ-frontal-2.npy,0,ok,test
