categoria,archivos
abecedario\fuente de puntos sin etiqueta confiable,72
abecedario\01 letra a\todas las imagenes,120
abecedario\02 letra b\todas las imagenes,120
abecedario\03 letra c\todas las imagenes,120
abecedario\04 letra d\todas las imagenes,120
abecedario\05 letra e\todas las imagenes,120
abecedario\06 letra f\todas las imagenes,120
abecedario\07 letra g\todas las imagenes,120
abecedario\08 letra h\todas las imagenes,120
abecedario\09 letra i\todas las imagenes,120
abecedario\10 letra j\todas las imagenes,120
abecedario\11 letra k\todas las imagenes,120
abecedario\12 letra l\todas las imagenes,120
abecedario\13 letra m\todas las imagenes,120
abecedario\14 letra n\todas las imagenes,120
abecedario\16 letra o\todas las imagenes,120
abecedario\17 letra p\todas las imagenes,120
abecedario\18 letra q\todas las imagenes,120
abecedario\19 letra r\todas las imagenes,120
abecedario\20 letra s\todas las imagenes,120
abecedario\21 letra t\todas las imagenes,120
abecedario\22 letra u\todas las imagenes,120
abecedario\23 letra v\todas las imagenes,120
abecedario\24 letra w\todas las imagenes,120
abecedario\25 letra x\todas las imagenes,120
abecedario\26 letra y\todas las imagenes,120
abecedario\27 letra z\todas las imagenes,120
abecedario\numeros\numero 1,1
abecedario\numeros\numero 10,1
abecedario\numeros\numero 2,1
abecedario\numeros\numero 3,1
abecedario\numeros\numero 4,1
abecedario\numeros\numero 5,1
abecedario\numeros\numero 6,1
abecedario\numeros\numero 7,1
abecedario\numeros\numero 8,1
abecedario\numeros\numero 9,1
abecedario\numeros\numero 1\todas las imagenes,120
abecedario\numeros\numero 10\todas las imagenes,120
abecedario\numeros\numero 2\todas las imagenes,120
abecedario\numeros\numero 3\todas las imagenes,120
abecedario\numeros\numero 4\todas las imagenes,120
abecedario\numeros\numero 5\todas las imagenes,120
abecedario\numeros\numero 6\todas las imagenes,120
abecedario\numeros\numero 7\todas las imagenes,120
abecedario\numeros\numero 8\todas las imagenes,120
abecedario\numeros\numero 9\todas las imagenes,120
palabras y oraciones\acciones\abrazo,1
palabras y oraciones\acciones\amor,1
palabras y oraciones\acciones\arreglar,1
palabras y oraciones\acciones\asustar,1
palabras y oraciones\acciones\ayuda,1
palabras y oraciones\acciones\bofetada,1
palabras y oraciones\acciones\buscar,1
palabras y oraciones\acciones\callar,1
palabras y oraciones\acciones\cerrar,1
palabras y oraciones\acciones\comer,1
palabras y oraciones\acciones\creer,1
palabras y oraciones\acciones\detener,1
palabras y oraciones\acciones\dormir,1
palabras y oraciones\acciones\guardar,1
palabras y oraciones\acciones\hacer,1
palabras y oraciones\acciones\jugar,1
palabras y oraciones\acciones\lanzar,1
palabras y oraciones\acciones\limpiar,1
palabras y oraciones\acciones\llorar,1
palabras y oraciones\acciones\mentir,1
palabras y oraciones\acciones\oir,1
palabras y oraciones\acciones\olvidar,1
palabras y oraciones\acciones\ordenar,1
palabras y oraciones\acciones\recoger,1
palabras y oraciones\acciones\reir,1
palabras y oraciones\alimentos\cafe,1
palabras y oraciones\alimentos\cena,1
palabras y oraciones\alimentos\comida,1
palabras y oraciones\alimentos\cuchara,1
palabras y oraciones\alimentos\cuchillo,1
palabras y oraciones\alimentos\desayuno,1
palabras y oraciones\alimentos\plato,1
palabras y oraciones\alimentos\sal,1
palabras y oraciones\alimentos\servilleta,1
palabras y oraciones\alimentos\tenedor,1
palabras y oraciones\alimentos\vaso,1
palabras y oraciones\casa y escuela\bano,1
palabras y oraciones\casa y escuela\borrador,1
palabras y oraciones\casa y escuela\calificacion,1
palabras y oraciones\casa y escuela\cama,1
palabras y oraciones\casa y escuela\casa,1
palabras y oraciones\casa y escuela\clase,1
palabras y oraciones\casa y escuela\closet,1
palabras y oraciones\casa y escuela\cocina,1
palabras y oraciones\casa y escuela\colores,1
palabras y oraciones\casa y escuela\cortina,1
