sample_id,label,capture_index,split_external,feature_path,points,channels,capture_index_is_verified_participant
static3d_a_01,A,1,train,A\a1.txt,1618,3,False
static3d_a_02,A,2,train,A\a2.txt,3495,3,False
static3d_a_03,A,3,train,A\a3.txt,3050,3,False
static3d_a_04,A,4,train,A\a4.txt,2091,3,False
static3d_a_05,A,5,train,A\a5.txt,4348,3,False
static3d_a_06,A,6,train,A\a6.txt,4728,3,False
static3d_a_07,A,7,train,A\a7.txt,4079,3,False
static3d_a_08,A,8,train,A\a8.txt,2240,3,False
static3d_a_09,A,9,train,A\a9.txt,1618,3,False
static3d_a_10,A,10,train,A\a10.txt,2331,3,False
static3d_a_11,A,11,train,A\a11.txt,2508,3,False
static3d_a_12,A,12,validation,A\a12.txt,4299,3,False
static3d_a_13,A,13,validation,A\a13.txt,3879,3,False
static3d_a_14,A,14,test,A\a14.txt,4105,3,False
static3d_a_15,A,15,test,A\a15.txt,2598,3,False
static3d_b_01,B,1,train,B\b1.txt,2307,3,False
static3d_b_02,B,2,train,B\b2.txt,4444,3,False
static3d_b_03,B,3,train,B\b3.txt,4428,3,False
static3d_b_04,B,4,train,B\b4.txt,2531,3,False
static3d_b_05,B,5,train,B\b5.txt,5532,3,False
static3d_b_06,B,6,train,B\b6.txt,7340,3,False
static3d_b_07,B,7,train,B\b7.txt,5083,3,False
static3d_b_08,B,8,train,B\b8.txt,3269,3,False
static3d_b_09,B,9,train,B\b9.txt,4925,3,False
static3d_b_10,B,10,train,B\b10.txt,4183,3,False
static3d_b_11,B,11,train,B\b11.txt,3958,3,False
static3d_b_12,B,12,validation,B\b12.txt,4029,3,False
static3d_b_13,B,13,validation,B\b13.txt,5406,3,False
static3d_b_14,B,14,test,B\b14.txt,4929,3,False
static3d_b_15,B,15,test,B\b15.txt,5279,3,False
static3d_c_01,C,1,train,C\c1.txt,2537,3,False
static3d_c_02,C,2,train,C\c2.txt,2993,3,False
static3d_c_03,C,3,train,C\c3.txt,3046,3,False
static3d_c_04,C,4,train,C\c4.txt,2079,3,False
static3d_c_05,C,5,train,C\c5.txt,3289,3,False
static3d_c_06,C,6,train,C\c6.txt,3197,3,False
static3d_c_07,C,7,train,C\c7.txt,3122,3,False
static3d_c_08,C,8,train,C\c8.txt,2719,3,False
static3d_c_09,C,9,train,C\c9.txt,3168,3,False
static3d_c_10,C,10,train,C\c10.txt,2353,3,False
static3d_c_11,C,11,train,C\c11.txt,3634,3,False
static3d_c_12,C,12,validation,C\c12.txt,2351,3,False
static3d_c_13,C,13,validation,C\c13.txt,3557,3,False
static3d_c_14,C,14,test,C\c14.txt,2934,3,False
static3d_c_15,C,15,test,C\c15.txt,3709,3,False
static3d_d_01,D,1,train,D\d1.txt,1758,3,False
static3d_d_02,D,2,train,D\d2.txt,2657,3,False
static3d_d_03,D,3,train,D\d3.txt,3299,3,False
static3d_d_04,D,4,train,D\d4.txt,2204,3,False
static3d_d_05,D,5,train,D\d5.txt,4230,3,False
static3d_d_06,D,6,train,D\d6.txt,4282,3,False
static3d_d_07,D,7,train,D\d7.txt,3354,3,False
static3d_d_08,D,8,train,D\d8.txt,1974,3,False
static3d_d_09,D,9,train,D\d9.txt,3247,3,False
static3d_d_10,D,10,train,D\d10.txt,2786,3,False
static3d_d_11,D,11,train,D\d11.txt,2334,3,False
static3d_d_12,D,12,validation,D\d12.txt,2467,3,False
static3d_d_13,D,13,validation,D\d13.txt,2565,3,False
static3d_d_14,D,14,test,D\d14.txt,2340,3,False
static3d_d_15,D,15,test,D\d15.txt,3426,3,False
static3d_e_01,E,1,train,E\e1.txt,1783,3,False
static3d_e_02,E,2,train,E\e2.txt,3800,3,False
static3d_e_03,E,3,train,E\e3.txt,3816,3,False
static3d_e_04,E,4,train,E\e4.txt,1884,3,False
static3d_e_05,E,5,train,E\e5.txt,5257,3,False
static3d_e_06,E,6,train,E\e6.txt,6083,3,False
static3d_e_07,E,7,train,E\e7.txt,4453,3,False
static3d_e_08,E,8,train,E\e8.txt,2175,3,False
static3d_e_09,E,9,train,E\e9.txt,3888,3,False
static3d_e_10,E,10,train,E\e10.txt,3263,3,False
static3d_e_11,E,11,train,E\e11.txt,3593,3,False
static3d_e_12,E,12,validation,E\e12.txt,3300,3,False
static3d_e_13,E,13,validation,E\e13.txt,5303,3,False
static3d_e_14,E,14,test,E\e14.txt,4842,3,False
static3d_e_15,E,15,test,E\e15.txt,5299,3,False
static3d_f_01,F,1,train,F\f1.txt,2266,3,False
static3d_f_02,F,2,train,F\f2.txt,3278,3,False
static3d_f_03,F,3,train,F\f3.txt,3661,3,False
static3d_f_04,F,4,train,F\f4.txt,2209,3,False
static3d_f_05,F,5,train,F\f5.txt,5101,3,False
static3d_f_06,F,6,train,F\f6.txt,6509,3,False
static3d_f_07,F,7,train,F\f7.txt,4331,3,False
static3d_f_08,F,8,train,F\f8.txt,3335,3,False
static3d_f_09,F,9,train,F\f9.txt,4014,3,False
static3d_f_10,F,10,train,F\f10.txt,3681,3,False
static3d_f_11,F,11,train,F\f11.txt,3090,3,False
static3d_f_12,F,12,validation,F\f12.txt,3864,3,False
static3d_f_13,F,13,validation,F\f13.txt,3002,3,False
static3d_f_14,F,14,test,F\f14.txt,2844,3,False
static3d_f_15,F,15,test,F\f15.txt,3078,3,False
static3d_g_01,G,1,train,G\g1.txt,2260,3,False
static3d_g_02,G,2,train,G\g2.txt,3456,3,False
static3d_g_03,G,3,train,G\g3.txt,3478,3,False
static3d_g_04,G,4,train,G\g4.txt,2947,3,False
static3d_g_05,G,5,train,G\g5.txt,2976,3,False
static3d_g_06,G,6,train,G\g6.txt,5461,3,False
static3d_g_07,G,7,train,G\g7.txt,3530,3,False
static3d_g_08,G,8,train,G\g8.txt,3059,3,False
static3d_g_09,G,9,train,G\g9.txt,4001,3,False
static3d_g_10,G,10,train,G\g10.txt,3918,3,False
static3d_g_11,G,11,train,G\g11.txt,3357,3,False
static3d_g_12,G,12,validation,G\g12.txt,4540,3,False
static3d_g_13,G,13,validation,G\g13.txt,3718,3,False
static3d_g_14,G,14,test,G\g14.txt,5318,3,False
static3d_g_15,G,15,test,G\g15.txt,4351,3,False
static3d_h_01,H,1,train,H\h1.txt,1864,3,False
static3d_h_02,H,2,train,H\h2.txt,3444,3,False
static3d_h_03,H,3,train,H\h3.txt,3780,3,False
static3d_h_04,H,4,train,H\h4.txt,2984,3,False
static3d_h_05,H,5,train,H\h5.txt,4764,3,False
static3d_h_06,H,6,train,H\h6.txt,6612,3,False
static3d_h_07,H,7,train,H\h7.txt,3677,3,False
static3d_h_08,H,8,train,H\h8.txt,3401,3,False
static3d_h_09,H,9,train,H\h9.txt,3977,3,False
static3d_h_10,H,10,train,H\h10.txt,3756,3,False
static3d_h_11,H,11,train,H\h11.txt,3377,3,False
static3d_h_12,H,12,validation,H\h12.txt,3441,3,False
static3d_h_13,H,13,validation,H\h13.txt,5568,3,False
static3d_h_14,H,14,test,H\h14.txt,5351,3,False
static3d_h_15,H,15,test,H\h15.txt,5401,3,False
static3d_i_01,I,1,train,I\i1.txt,1687,3,False
static3d_i_02,I,2,train,I\i2.txt,2786,3,False
static3d_i_03,I,3,train,I\i3.txt,2729,3,False
static3d_i_04,I,4,train,I\i4.txt,1350,3,False
static3d_i_05,I,5,train,I\i5.txt,2183,3,False
static3d_i_06,I,6,train,I\i6.txt,4845,3,False
static3d_i_07,I,7,train,I\i7.txt,3351,3,False
static3d_i_08,I,8,train,I\i8.txt,1997,3,False
static3d_i_09,I,9,train,I\i9.txt,3357,3,False
static3d_i_10,I,10,train,I\i10.txt,2229,3,False
static3d_i_11,I,11,train,I\i11.txt,1910,3,False
static3d_i_12,I,12,validation,I\i12.txt,3876,3,False
static3d_i_13,I,13,validation,I\i13.txt,2681,3,False
static3d_i_14,I,14,test,I\i14.txt,1598,3,False
static3d_i_15,I,15,test,I\i15.txt,2686,3,False
static3d_l_01,L,1,train,L\l1.txt,2004,3,False
static3d_l_02,L,2,train,L\l2.txt,1603,3,False
static3d_l_03,L,3,train,L\l3.txt,3839,3,False
static3d_l_04,L,4,train,L\l4.txt,2217,3,False
static3d_l_05,L,5,train,L\l5.txt,4548,3,False
static3d_l_06,L,6,train,L\l6.txt,5929,3,False
static3d_l_07,L,7,train,L\l7.txt,3883,3,False
static3d_l_08,L,8,train,L\l8.txt,3371,3,False
static3d_l_09,L,9,train,L\l9.txt,3746,3,False
static3d_l_10,L,10,train,L\l10.txt,3305,3,False
static3d_l_11,L,11,train,L\l11.txt,3029,3,False
static3d_l_12,L,12,validation,L\l12.txt,3313,3,False
static3d_l_13,L,13,validation,L\l13.txt,4549,3,False
static3d_l_14,L,14,test,L\l14.txt,4224,3,False
static3d_l_15,L,15,test,L\l15.txt,4580,3,False
static3d_m_01,M,1,train,M\m1.txt,2053,3,False
static3d_m_02,M,2,train,M\m2.txt,2537,3,False
static3d_m_03,M,3,train,M\m3.txt,3380,3,False
static3d_m_04,M,4,train,M\m4.txt,1612,3,False
static3d_m_05,M,5,train,M\m5.txt,2704,3,False
static3d_m_06,M,6,train,M\m6.txt,4670,3,False
static3d_m_07,M,7,train,M\m7.txt,3736,3,False
static3d_m_08,M,8,train,M\m8.txt,2030,3,False
static3d_m_09,M,9,train,M\m9.txt,2366,3,False
static3d_m_10,M,10,train,M\m10.txt,2806,3,False
static3d_m_11,M,11,train,M\m11.txt,1290,3,False
static3d_m_12,M,12,validation,M\m12.txt,3207,3,False
static3d_m_13,M,13,validation,M\m13.txt,2030,3,False
static3d_m_14,M,14,test,M\m14.txt,4009,3,False
static3d_m_15,M,15,test,M\m15.txt,1642,3,False
static3d_n_01,N,1,train,N\n1.txt,1816,3,False
static3d_n_02,N,2,train,N\n2.txt,1453,3,False
static3d_n_03,N,3,train,N\n3.txt,2999,3,False
static3d_n_04,N,4,train,N\n4.txt,2044,3,False
static3d_n_05,N,5,train,N\n5.txt,3410,3,False
static3d_n_06,N,6,train,N\n6.txt,3996,3,False
