sample_id,label_lsm_static,performer_index_unverified,source_v1_relative_path,source_v1_sha256,canonical_relative_path,canonical_sha256,source_centroid_x,source_centroid_y,source_centroid_z,source_radius,content_duplicate_group_size,is_duplicate_content,is_quarantined_duplicate_copy,split,dataset_doi,license
a1,A,1,A\a1.txt,f9c9751d45d0e32ef9451f88954ad8f02d04da36bd4af81a5f491328c29f4760,A\a1.npy,6950e0bd3384de5c2cf959183fedb104a527757975ea9ed1a7be3de22a6ebaf0,-4.944375890310427e-09,-6.18046990800371e-10,-1.8541409141619002e-09,0.999999791499621,2,True,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a10,A,10,A\a10.txt,fe3f5ad41b890204eada2fbd7443974ab179778692ab3498f3942d0cefa48494,A\a10.npy,e044dd153731c07f7e258a23b4176ed5f39fc510e473d85e1d21a6da1dbd45c3,-2.5740025076346727e-09,6.006005813068492e-09,-5.148005144970996e-09,1.0000004394200719,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a11,A,11,A\a11.txt,cb81d16bad2f119b851539b9bef98677eb32d045c51864cc83157dbe76ddd513,A\a11.npy,caa9638700141a084eb9c559a3f385acc63f2cb4500599c47e2ca1ed73cf2462,-2.3923444141441187e-09,1.5948963458612897e-09,-7.974481729285699e-10,1.0000002792001348,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a12,A,12,A\a12.txt,d8f2f12d1721391cadd84a49619d906119eabc8e4d9c9a0e773bbc76243240cc,A\a12.npy,6a284d62c3a7c05871ab84d115c7a103d2c18bc66f3ae2de7ad1b11af29941b6,0.1063563573684572,-0.1481893007962312,0.7645734227401596,0.09239711969431565,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a13,A,13,A\a13.txt,00fa8746ca140991ce67171714d796c2efd9531383c645df168c403cd78aa21a,A\a13.npy,cb5c1a7ff573ef40b12b7f0fe7c6f4438e6041a7f1e50d15e739d39904c016e9,-0.04469044958385171,-0.0675745281549368,0.7635401193245572,0.09213557129611644,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a14,A,14,A\a14.txt,cd2bbdae6362ca98a1832ece0d009e54f0dd4de9d25774d746b0b50034b314f4,A\a14.npy,f58d031557dfcde6467fbc71dd396b6ba0d60bd57ec9c1a177d564eb9498e23c,-5.359317895844325e-09,-2.1924482429844757e-09,2.9232642943125007e-09,0.9999997664216682,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a15,A,15,A\a15.txt,de11fda8e64be27d49c5e695036a0113fb19aaaa5926231f6df29ff2b072cc88,A\a15.npy,126597513d2a98aec25867a2ea7cf00b506645aa4351b3ba90ec058c37168d02,-6.5434951771028425e-09,-5.388760611993092e-09,3.849114691986416e-09,1.0000003516046585,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a2,A,2,A\a2.txt,df9e87606aaaf3a07df5279e3dbd2ebc50ad39d2174c21450d4cb9cee04d358f,A\a2.npy,aed2ee0e7548f1299d7e35b9bf1f577d7172a686ba8787378f64610c21a656fb,8.011445144702957e-09,-2.575107292621826e-09,-1.7167382033589173e-09,1.0000001338389304,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a3,A,3,A\a3.txt,e90140eb1faf82e6edaafe39fcb10233bff4be5e256f6f672012ae983cbcbf28,A\a3.npy,fe871f358b220a67093169f890d7615a6ffb3f364a723a435d2ffb075070a2af,-9.180327679723317e-09,6.557376977659402e-10,-1.0491803255575437e-08,0.999999507060818,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
a4,A,4,A\a4.txt,bada9cabbeb8cd0fa410009f566875501c21b920d4d972b08b458b939c73dca5,A\a4.npy,2140a8cb562e4702e5bda25e08df2ebc49e8c7b039321c9fe69f9d0082afe18d,0.10756148815877546,0.005505809044428528,0.7624074937828723,0.06574428296283742,1,False,False,unassigned,10.17632/sjt79hnb2f.2,CC BY 4.0
